date,hrs_work,capital,rGDP
1/1/1950,100064,10563268,2458.532
1/1/1951,108525,10898386,2656.32
1/1/1952,110757,11258935,2764.803
1/1/1953,112184,11667803,2894.412
1/1/1954,107712,12058041,2877.708
1/1/1955,111238,12496091,3083.026
1/1/1956,113637,12930121,3148.765
1/1/1957,113304,13353822,3215.065
1/1/1958,109709,13737182,3191.216
1/1/1959,113164,14221670,3412.421
1/1/1960,114721,14693055,3500.273
1/1/1961,114607,15185855,3590.066
1/1/1962,118097,15739644,3810.123
1/1/1963,120093,16340958,3976.142
1/1/1964,122889,17002594,4205.277
1/1/1965,127604,17730630,4478.555
1/1/1966,133972,18508236,4773.931
1/1/1967,136172,19239902,4904.864
1/1/1968,139143,19990580,5145.914
1/1/1969,143024,20734748,5306.595
1/1/1970,140823,21379038,5316.391
1/1/1971,140043,22033236,5491.446
1/1/1972,144127,22780132,5780.048
1/1/1973,150314,23606602,6106.371
1/1/1974,150547,24310780,6073.363
1/1/1975,146463,24845794,6060.875
1/1/1976,150687,25479508,6387.437
1/1/1977,155780,26253260,6682.805
1/1/1978,162941,27174884,7052.711
1/1/1979,167633,28144202,7275.999
1/1/1980,166633,28952150,7257.317
1/1/1981,167767,29738288,7441.485
1/1/1982,163779,30368384,7307.314
1/1/1983,166077,31093054,7642.266
1/1/1984,174211,32068518,8195.295
1/1/1985,177608,33127016,8537.004
1/1/1986,179575,34181992,8832.611
1/1/1987,184787,35208604,9137.745
1/1/1988,189670,36224176,9519.427
1/1/1989,194925,37242084,9869.003
1/1/1990,196442,38181148,10055.129
1/1/1991,192286,38943580,10044.238
1/1/1992,193316,39749632,10398.046
1/1/1993,196699,40619356,10684.179
1/1/1994,202067,41576888,11114.646
1/1/1995,207463,42589128,11413.012
1/1/1996,210161,43715496,11843.599
1/1/1997,216596,44934860,12370.3
1/1/1998,222346,46303760,12924.876
1/1/1999,226894,47787892,13543.774
1/1/2000,230609,49329540,14096.033
1/1/2001,227725,50697112,14230.726
1/1/2002,225643,51889248,14472.712
1/1/2003,224449,53148096,14877.313
1/1/2004,227128,54536764,15449.757
1/1/2005,230400,56048848,15987.958
1/1/2006,234732,57539832,16433.148
1/1/2007,236610,58882184,16762.446
1/1/2008,234039,59951996,16781.485
1/1/2009,221573,60486876,16349.111
1/1/2010,222053,61035284,16789.751
1/1/2011,226014,61657132,17052.411
1/1/2012,230328,62424416,17442.759
1/1/2013,233870,63225104,17812.167
1/1/2014,238609,64118472,18261.714
1/1/2015,243112,65053556,18799.622
1/1/2016,246571,65971328,19141.672
1/1/2017,250050,66940280,19612.103
1/1/2018,254165,68005632,20193.895
1/1/2019,257352,69059464,20715.672
